line_id,corporation,sample_name,sample_pairs_count,stop_count
1029,西鉄バス,西鉄バス・１・普通・福岡タワー・医療Ｃ構内行,8,21
1036,西鉄バス,西鉄バス・１－５・普通・藤崎－福岡タワー南口・医療Ｃ構内行,16,27
1038,西鉄バス,西鉄バス・１・普通・橋本－新室見・姪浜駅南口行,11,11
1053,西鉄バス,西鉄バス・１－７・普通・城の原団地－下山門団地・三陽高前行,9,18
1057,西鉄バス,西鉄バス・１－５・普通・中村－拾六町団地・野方行,4,13
1079,西鉄バス,西鉄バス・普通・龍の宮行,17,11
11,西鉄バス,西鉄バス・６８・普通・天神－国体道路－キャナル博多・博多駅行,17,19
1100,西鉄バス,西鉄バス・８・普通・博多駅行,13,25
1128,西鉄バス,西鉄バス・２０１・普通・田隈新町－六本松－国体道路・天神・博多駅行,34,43
117,西鉄バス,西鉄バス・６－１・普通・キャナル博多・博多駅行,26,25
1185,西鉄バス,西鉄バス・７８・普通・流通Ｃ－県庁明治通り－天神・大濠公園行,6,12
1186,西鉄バス,西鉄バス・７７・普通・大濠公園行,7,16
1190,西鉄バス,西鉄バス・７７・普通・多の津－県庁－明治通り－天神・大濠公園行,6,12
1191,西鉄バス,西鉄バス・７７・普通・土井団地－名子・みどりが丘団地入口行,15,23
1192,西鉄バス,西鉄バス・７１・普通・月見町行,17,21
1193,西鉄バス,西鉄バス・７８・普通・多々良－土井団地－原土井病院・みどりが丘団地入口行,31,40
1197,連絡バス,連絡バス・皿倉山ケーブルカー・無料シャトルバス・ＪＲ八幡駅行,5,2
120,西鉄バス,西鉄バス・６・普通・キャナル博多・博多駅行,12,22
1215,西鉄バス,西鉄バス・３９・普通・空港通－二又瀬－福岡空港－月隈団地・桜丘第五行,10,26
1217,西鉄バス,西鉄バス・４３・普通・金隈行,16,16
1231,西鉄バス,西鉄バス・１２・普通・六本松－赤坂門－天神・博多駅行,16,30
1236,西鉄バス,西鉄バス・１２・普通・六本松－福大前・片江営行,10,24
1237,西鉄バス,西鉄バス・１２・普通・赤坂門－六本松－福大前・片江営行,1,17
124,西鉄バス,西鉄バス・６・普通・鳥飼－西新四－博物館南口・福岡タワー行,7,17
1256,西鉄バス,西鉄バス・５７－２・普通・大牟田駅－白銀橋－橘交差点－新大牟田・吉野循環行,27,26
1265,西鉄バス,西鉄バス・１６・普通・倉掛行,17,15
1266,西鉄バス,西鉄バス・１６・普通・倉掛行,10,10
1267,西鉄バス,西鉄バス・１５・普通・大牟田駅・ゆめタウン大牟田行,29,19
1268,西鉄バス,西鉄バス・１５・普通・西鉄大牟田駅行,20,14
1273,西鉄バス,西鉄バス・１０・普通・西鉄大牟田駅行,9,14
1274,西鉄バス,西鉄バス・１８・普通・黒崎団地前行,11,16
1275,西鉄バス,西鉄バス・１０・普通・西鉄大牟田駅行,5,12
1277,西鉄バス,西鉄バス・１０・普通・大牟田駅・西鉄大牟田営行,16,18
1278,西鉄バス,西鉄バス・１・普通・大牟田駅・西鉄大牟田営行,1,6
1280,西鉄バス,西鉄バス・１８・普通・黒崎団地前行,19,20
1282,西鉄バス,西鉄バス・１８・普通・大牟田駅・西鉄大牟田営行,5,6
1284,西鉄バス,西鉄バス・３・普通・西鉄大牟田駅行,5,7
1285,西鉄バス,西鉄バス・３・普通・グリーンランド・ホテルヴェルデ前行,5,8
1286,西鉄バス,西鉄バス・７－１・普通・動物園前・西鉄大牟田営行,5,6
1295,西鉄バス,西鉄バス・１・普通・頓野グランド前行,19,12
1296,西鉄バス,西鉄バス・２・普通・中原・道目木行,6,15
1297,西鉄バス,西鉄バス・３・普通・出口・道目木行,14,14
1298,西鉄バス,西鉄バス・１３・普通・中央病院－浄福寺・イオンモール直方行,15,10
1302,西鉄バス,西鉄バス・普通・シャトルバス・直方行,5,4
1304,西鉄バス,西鉄バス・７・普通・永満寺行,1,19
1305,西鉄バス,西鉄バス・２４・普通・山家道・西鉄筑紫駅行,14,10
1307,西鉄バス,西鉄バス・３・普通・ＪＲ二日市駅・西鉄二日市駅行,10,7
1344,西鉄バス,西鉄バス・３４・普通・中谷行,39,38
1346,西鉄バス,西鉄バス・３４・普通・小倉駅ＢＣ・砂津行,33,31
1367,西鉄バス,西鉄バス・４９・普通・桃山町・ＪＲ門司駅行,48,41
1375,西鉄バス,西鉄バス・４５・普通・小倉記念病院行,2,15
1378,西鉄バス,西鉄バス・５１・普通・北九州空港行,6,5
1379,西鉄バス,西鉄バス・５１・普通・北九州空港行,8,7
1391,西鉄バス,西鉄バス・８・普通・霧丘三行,17,15
1398,西鉄バス,西鉄バス・２５・普通・三萩野－小倉駅ＢＣ・砂津行,29,31
1401,西鉄バス,西鉄バス・急行・小嶺・黒崎駅行,16,14
1402,西鉄バス,西鉄バス・急行・小嶺・直方行,13,17
1404,西鉄バス,西鉄バス・５６・普通・中央三－大蔵・上重田行,13,14
1410,西鉄バス,西鉄バス・５６・普通・大蔵－中央町・イオン八幡東行,11,12
1411,西鉄バス,西鉄バス・２０・普通・千本杉・西鉄久留米行,15,29
1412,西鉄バス,西鉄バス・２０・普通・田主丸－吉井・浮羽発着所行,45,38
1416,西鉄バス,西鉄バス・２０・普通・田主丸・吉井営行,38,34
1429,西鉄バス,西鉄バス・１・普通・折尾駅行,56,46
1430,西鉄バス,西鉄バス・１・普通・西鉄黒崎ＢＣ行,53,41
1431,西鉄バス,西鉄バス・９９・普通・中央卸売市場行,23,14
1432,西鉄バス,西鉄バス・４０・普通・長門石・目達原行,8,9
1434,西鉄バス,西鉄バス・４０・普通・西鉄久留米行,5,5
1437,西鉄バス,西鉄バス・４０・普通・長門石・青葉台中央行,10,10
1462,西鉄バス,西鉄バス・７３・普通・屋形船車庫行,19,16
1474,西鉄バス,西鉄バス・４２・普通・枝光駅－中央町－花尾町－祇園三・西鉄黒崎ＢＣ行,53,54
1476,西鉄バス,西鉄バス・４２・普通・枝光駅－中央町－花尾町－祇園三・ＪＲ八幡駅行,44,48
1484,西鉄バス,西鉄バス・９１・普通・砂津行,19,22
1495,西鉄バス,西鉄バス・４０・普通・伊川－黒川－門司港レトロ・ＪＲ門司港駅行,11,24
1497,西鉄バス,西鉄バス・４１・普通・黒川－大積東口・白野江行,25,23
1498,西鉄バス,西鉄バス・４０・普通・黒川－柄杓田・恒見営行,21,17
1517,西鉄バス,西鉄バス・６０・普通・伊川－淡島神社・ＪＲ門司駅行,3,4
153,西鉄バス,西鉄バス・８・普通・博多駅行,22,34
1538,西鉄バス,西鉄バス・１７・普通・寺迫口－下曽根駅北口・弥生が丘営行,4,20
1543,西鉄バス,西鉄バス・１８・普通・青葉車庫行,19,26
1547,西鉄バス,西鉄バス・２８・普通・南小倉駅－金田－市役所－小倉駅ＢＣ・霧丘三行,47,47
1548,西鉄バス,西鉄バス・２７・普通・明和町－黒原・湯川新町三行,1,10
1549,西鉄バス,西鉄バス・２７・普通・市役所－ソレイユ－南小倉駅－井堀・製鉄飛幡門行,30,32
1553,西鉄バス,西鉄バス・２６Ａ・普通・福間－都高－昭和通・天神行,22,50
1557,西鉄バス,西鉄バス・２６Ａ・普通・東郷橋・赤間営行,51,44
1577,西鉄バス,西鉄バス・７４・普通・上脇田行,16,26
1579,西鉄バス,西鉄バス・１１・普通・乙金－桜並木駅・ＪＲ南福岡駅行,21,17
1584,西鉄バス,西鉄バス・３・普通・博多の森競技場－志免鉄道公園－新原・宇美営行,39,30
1585,西鉄バス,西鉄バス・５・普通・新生－志免－亀山－別府・福岡空港行,13,21
1589,西鉄バス,西鉄バス・３７・普通・志免－上宇美・四王寺坂行,42,36
1590,西鉄バス,西鉄バス・普通・博多の森競技場－東平尾・福岡空港国内線南行,15,13
1591,西鉄バス,西鉄バス・２０・普通・大野城駅西口行,6,14
1602,西鉄バス,西鉄バス・２・普通・光町・西鉄春日原行,19,17
1619,西鉄バス,西鉄バス・１・普通・大土居－光町・西鉄春日原行,22,23
1625,西鉄バス,西鉄バス・６・普通・春日・月の浦営行,20,20
1635,西鉄バス,西鉄バス・４２・普通・ＪＲ博多南駅行,2,5
1636,西鉄バス,西鉄バス・４２・普通・大土居－昇町－井尻・西鉄大橋駅行,13,24
1641,西鉄バス,西鉄バス・４２・普通・西鉄大橋駅行,13,18
1642,西鉄バス,西鉄バス・２１・普通・下大利駅－市役所・イオン大野城行,21,24
1643,西鉄バス,西鉄バス・２１・普通・下大利駅行,22,19
1646,西鉄バス,西鉄バス・２１・普通・下大利駅行,2,6
1653,西鉄バス,西鉄バス・２３・普通・青葉台－つつじケ丘・南山手団地行,25,19
1654,西鉄バス,西鉄バス・２３・普通・青葉台・下大利駅行,3,5
1655,西鉄バス,西鉄バス・２３・普通・青葉台－つつじケ丘－平野Ｈ・月の浦営行,3,15
1656,西鉄バス,西鉄バス・４０・普通・朝倉街道・ＪＲ二日市駅行,7,13
1657,西鉄バス,西鉄バス・４０・普通・杷木行,30,26
1659,西鉄バス,西鉄バス・４１・普通・原鶴温泉・杷木行,63,55
1660,西鉄バス,西鉄バス・４１・普通・西鉄朝倉街道駅行,3,7
1662,西鉄バス,西鉄バス・４０・普通・甘木営行,43,32
1663,西鉄バス,西鉄バス・４０・普通・甘木営行,5,8
1664,西鉄バス,西鉄バス・４００・普通・甘木営行,48,42
1668,西鉄バス,西鉄バス・２１・普通・西鉄筑豊・済生会飯塚嘉穂病院行,18,20
1671,西鉄バス,西鉄バス・２１・普通・西鉄筑豊・飯塚工業団地行,15,16
1672,西鉄バス,西鉄バス・１７・普通・公園前－光が丘・光が丘四行,16,17
1673,西鉄バス,西鉄バス・１７・普通・公園前－光が丘・光が丘四行,25,19
1690,西鉄バス,西鉄バス・特急・粕屋警察署－穂波－飯塚・新飯塚駅行,14,8
1700,西鉄バス,西鉄バス・２・普通・ＪＲ東郷駅行,32,29
1702,西鉄バス,西鉄バス・１・普通・宗像大社・神湊波止場行,21,15
1705,西鉄バス,西鉄バス・１－１・普通・津屋崎橋行,24,18
1711,西鉄バス,西鉄バス・３・普通・池野支所・鐘崎車庫行,40,31
1718,西鉄バス,西鉄バス・１・普通・青柳四ツ角・ＪＲ古賀駅行,25,23
172,西鉄バス,西鉄バス・２０４・普通・那の津四行,16,25
1721,西鉄バス,西鉄バス・１・普通・青柳四ツ角－古賀駅東医療Ｃ・舞の里行,7,31
1723,西鉄バス,西鉄バス・３・普通・東医療Ｃ－花見・ＪＲ古賀駅行,20,19
1728,西鉄バス,西鉄バス・６８・普通・西鉄筑豊・鞍手車庫行,4,4
1736,西鉄バス,西鉄バス・５７・普通・南王子－国道東曲里町－ふれあい通り・西鉄黒崎ＢＣ行,5,15
1740,西鉄バス,西鉄バス・５７・普通・北筑高－永犬丸－大平－千代小・香月営行,7,33
1750,西鉄バス,西鉄バス・普通・西鉄五条駅行,13,9
1752,西鉄バス,西鉄バス・普通・君畑・西鉄二日市東口行,16,10
1753,西鉄バス,西鉄バス・１－２・普通・西鉄二日市駅行,24,18
1755,西鉄バス,西鉄バス・２－１・普通・西鉄二日市駅行,14,12
1761,西鉄バス,西鉄バス・１－２・普通・原営前行,1,6
1766,西鉄バス,西鉄バス・３１・普通・篠栗・日の浦口行,38,36
1776,西鉄バス,西鉄バス・７・普通・岡垣町役場西・松ケ台方面行,28,21
1778,西鉄バス,西鉄バス・８・普通・赤間駅南口行,23,11
1779,西鉄バス,西鉄バス・８・普通・赤間駅南口行,19,16
178,西鉄バス,西鉄バス・２０６・普通・西陵高・野方行,25,41
1786,西鉄バス,西鉄バス・８－２・普通・森林都市・広陵台児童公園前行,18,16
1787,西鉄バス,西鉄バス・８・普通・赤間駅南口行,21,14
1788,西鉄バス,西鉄バス・８－２・普通・森林都市－広陵台児童公園・日赤看護大学行,25,19
1796,西鉄バス,西鉄バス・２３・普通・西鉄筑豊・山野社宅行,38,25
1797,西鉄バス,西鉄バス・２３・普通・上三緒－鴨生・上山田行,47,35
1807,西鉄バス,西鉄バス・１０・普通・西鉄佐賀－警察署－西鉄久留米・ＪＲ久留米駅行,10,20
1808,西鉄バス,西鉄バス・４１・普通・中原－綾部－山浦・ＪＲ鳥栖駅行,7,18
1810,西鉄バス,西鉄バス・３・普通・諏訪野町・西鉄久留米行,1,6
1815,西鉄バス,西鉄バス・３・普通・西鉄久留米－諏訪野町－国分・青峰団地行,26,23
1816,西鉄バス,西鉄バス・３・普通・国分－諏訪野町－西鉄久留米－市役所・ＪＲ久留米駅行,24,20
1820,連絡バス,連絡バス・西鉄バス・エアポートバス・砂津行,1,8
1823,西鉄バス,西鉄バス・１・普通・千本杉・西鉄久留米行,4,11
1825,西鉄バス,西鉄バス・２・普通・野中・西鉄久留米行,13,10
1834,西鉄バス,西鉄バス・８・普通・西鉄久留米－市役所大学病院・高専方面行,30,25
1848,西鉄バス,西鉄バス・２・普通・通町－大牟田駅－右京町－四ツ山・荒尾駅行,38,33
1849,西鉄バス,西鉄バス・４・普通・高泉団地－通町－大牟田駅－天領橋・荒尾駅行,29,23
1852,西鉄バス,西鉄バス・４８・普通・西鉄久留米行,20,21
1853,西鉄バス,西鉄バス・４８・普通・信愛学院久留米行,12,14
1854,西鉄バス,西鉄バス・７０・普通・門司港レトロ－海岸・田野浦行,18,25
1855,西鉄バス,西鉄バス・７０・普通・門司駅－原町－魚町－中井口・戸畑渡場行,1,2
1860,西鉄バス,西鉄バス・７４・普通・魚町－原町－門司駅門司港駅－レトロ・和布刈行,19,33
1866,西鉄バス,西鉄バス・１７５・普通・大久保越・田野浦行,1,8
1867,西鉄バス,西鉄バス・１７０・普通・門司港レトロ－海岸・田野浦行,4,7
1868,西鉄バス,西鉄バス・７７・普通・青葉車庫行,30,44
1870,西鉄バス,西鉄バス・１７５・普通・大門行,17,20
1871,西鉄バス,西鉄バス・１７０・普通・門司港レトロ－都高－砂津－魚町・大門行,9,15
1872,西鉄バス,西鉄バス・２２・普通・西鉄黒崎ＢＣ行,9,16
188,西鉄バス,西鉄バス・７・普通・六本松－今泉・天神行,20,23
1885,西鉄バス,西鉄バス・１・普通・工大前－戸畑区役所・ＪＲ戸畑駅行,21,33
1886,西鉄バス,西鉄バス・２・普通・牧山－沖台通り－戸畑駅・戸畑営行,15,19
1888,西鉄バス,西鉄バス・９３・普通・霧丘三行,23,31
1890,西鉄バス,西鉄バス・９３・普通・中原－魚町－営団入口－広寿山・サンリブシティ小倉行,25,32
1891,西鉄バス,西鉄バス・９３・普通・霧丘三行,25,34
1892,西鉄バス,西鉄バス・５・普通・戸畑区役所－中原－魚町－営団入口・湯川新町三行,3,10
1893,西鉄バス,西鉄バス・９３・普通・広寿山－営団入口－魚町－中原・ＪＲ戸畑駅行,14,42
1898,西鉄バス,西鉄バス・８２・普通・引野方面行,19,19
1907,西鉄バス,西鉄バス・４０・普通・馬場－引野口－黒崎－平野一・製鉄飛幡門行,14,49
1908,西鉄バス,西鉄バス・４０・普通・鞘ケ谷－浅生通－戸畑駅・製鉄飛幡門行,5,12
191,西鉄バス,西鉄バス・７・普通・姪浜駅南口行,10,20
1916,西鉄バス,西鉄バス・７５・普通・香月営行,53,51
1919,西鉄バス,西鉄バス・５０・普通・茶屋の原団地・香月営行,3,6
1921,西鉄バス,西鉄バス・７５・普通・国道東曲里町－ふれあい通り・西鉄黒崎ＢＣ行,9,37
1922,西鉄バス,西鉄バス・７５・普通・国道東曲里町－ふれあい通り・西鉄黒崎ＢＣ行,41,54
1930,西鉄バス,西鉄バス・９５・普通・社ノ木二－門司駅－門司港駅－山手・田野浦行,40,46
1936,西鉄バス,西鉄バス・８３・普通・社ノ木二－魚町竪町－井堀・ＪＲ戸畑駅行,45,50
1940,西鉄バス,西鉄バス・４７・普通・緑ケ丘中－門司駅－桜ケ丘・恒見営行,59,40
1956,西鉄バス,西鉄バス・４５・普通・江見－原の町－佐賀駅ＢＣ・佐賀第二合同庁舎行,3,3
196,西鉄バス,西鉄バス・２０３・普通・室住団地－原－六本松－国体道路・天神・博多駅行,23,24
1961,西鉄バス,西鉄バス・５０・普通・羽犬塚・船小屋行,46,41
1962,西鉄バス,西鉄バス・５０・普通・羽犬塚・筑後船小屋駅行,50,44
1963,西鉄バス,西鉄バス・３１・普通・福島・八女営行,27,25
1965,西鉄バス,西鉄バス・３１・普通・福島・八女営行,40,33
1967,西鉄バス,西鉄バス・２５・普通・善院行,23,24
1968,西鉄バス,西鉄バス・２５・普通・草野－善院－田主丸・上原行,36,35
1977,西鉄バス,西鉄バス・６７・普通・中鶴北部－岩瀬東町・筑鉄中間駅行,9,11
1979,西鉄バス,西鉄バス・６７・普通・ＪＲ中間駅－中鶴北部・香月営行,32,32
1980,西鉄バス,西鉄バス・６１・普通・筑鉄中間－弥生・香月営行,16,23
1983,西鉄バス,西鉄バス・１・普通・中原－大川橋－南佐賀・ＪＲ佐賀駅行,26,17
1984,西鉄バス,西鉄バス・１・普通・西鉄柳川駅行,4,14
200,西鉄バス,西鉄バス・５・普通・住吉・博多駅行,1,2
2000,西鉄バス,西鉄バス・３・普通・明治通－天神－西新・星の原団地行,16,22
2018,西鉄バス,西鉄バス・２１・普通・雁の巣ＲＣ行,18,33
202,西鉄バス,西鉄バス・２０２・普通・原－室見団地・原北中前行,2,27
2037,西鉄バス,西鉄バス・７４・普通・青洲会病院行,22,21
2048,西鉄バス,西鉄バス・外環・普通・横手小前－大橋一・西鉄大橋駅行,43,28
2050,西鉄バス,西鉄バス・３・普通・ネオポリス－くりえいと・赤間営行,7,7
2058,西鉄バス,西鉄バス・７・普通・太刀浦埠頭入口行,5,5
207,西鉄バス,西鉄バス・５０３・普通・室住団地－室見団地－愛宕ＲＰ・天神・博多駅行,23,24
2094,西鉄バス,西鉄バス・１４０・普通・福大病院－金山団地－美術館・天神行,18,22
2098,西鉄バス,西鉄バス・１５１・普通・野間四角－清水町－渡辺通一・天神行,3,16
2110,西鉄バス,西鉄バス・６０・普通・清水町－きよみ通－山王一・博多駅筑紫口行,3,14
2111,西鉄バス,西鉄バス・４８－１・普通・竹下駅西口－大橋・老司団地行,14,25
2112,西鉄バス,西鉄バス・４８・普通・大橋－竹下駅西口－駅４－博多駅・博多埠頭行,12,28
2152,西鉄バス,西鉄バス・１・普通・道の駅むなかた・神湊波止場行,2,3
2153,西鉄バス,西鉄バス・１・普通・道の駅むなかた－宗像大社・ＪＲ東郷駅行,1,2
2239,西鉄バス,西鉄バス・４・普通・千早駅－石堂大橋－昭和通－天神・福岡タワー行,30,28
2240,西鉄バス,西鉄バス・４・普通・名島駅－昭和通－石堂大橋・天神行,2,12
2254,西鉄バス,西鉄バス・４３・普通・福岡空港国内線南行,16,20
2257,西鉄バス,西鉄バス・６０・普通・大橋駅行,13,14
2258,西鉄バス,西鉄バス・６０・普通・大橋－片縄・那珂川営行,4,6
2259,西鉄バス,西鉄バス・２・普通・筵内－サンコスモ・ＪＲ古賀駅行,27,22
2260,西鉄バス,西鉄バス・６・普通・古賀駅東口－市役所－工業団地・グリーンパーク古賀行,27,34
2263,西鉄バス,西鉄バス・６・普通・ししぶ駅東口－古賀駅東口・舞の里行,21,33
2295,西鉄バス,西鉄バス・７０・普通・原町－門司駅－門司港レトロ－海岸・田野浦行,25,35
2304,西鉄バス,西鉄バス・２－９・普通・賀茂駅行,13,16
2306,西鉄バス,西鉄バス・２－９・普通・原・賀茂駅行,11,13
231,西鉄バス,西鉄バス・２・普通・四箇田団地行,19,22
2312,西鉄バス,西鉄バス・６・普通・北間－一ツ木団地・早津江行,36,28
2315,西鉄バス,西鉄バス・１２・普通・守恒駅－岩鼻－長行台・中谷行,19,37
